date,country,price
01/02/2023, Romania,149.0
01/02/2023, Serbia,177.0
01/02/2023, Slovakia,148.0
01/02/2023, Slovenia,148.0
01/02/2023, Spain,139.0
01/02/2023, Sweden,117.0
01/02/2023, Switzerland,154.0
01/03/2023, Austria,128.0
01/03/2023, Belgium,89.0
01/03/2023, Bulgaria,188.0
01/03/2023, Croatia,163.0
01/03/2023, Czech Rep.,119.0
01/03/2023, Denmark,66.0
01/03/2023, Estonia,102.0
01/03/2023, Finland,100.0
01/03/2023, France,98.0
01/03/2023, Germany,59.0
01/03/2023, Greece,218.0
01/03/2023, Hungary,184.0
01/03/2023, Italy,172.0
01/03/2023, Latvia,102.0
01/03/2023, Lithuania,102.0
01/03/2023, Netherlands,100.0
01/03/2023, Norway,90.0
01/03/2023, Poland,132.0
01/03/2023, Portugal,115.0
01/03/2023, Romania,188.0
01/03/2023, Serbia,126.0
01/03/2023, Slovakia,181.0
01/03/2023, Slovenia,153.0
01/03/2023, Spain,115.0
01/03/2023, Sweden,73.0
01/03/2023, Switzerland,137.0
01/04/2023, Austria,121.0
01/04/2023, Belgium,120.0
01/04/2023, Bulgaria,139.0
01/04/2023, Croatia,138.0
01/04/2023, Czech Rep.,140.0
01/04/2023, Denmark,110.0
01/04/2023, Estonia,112.0
01/04/2023, Finland,112.0
01/04/2023, France,127.0
01/04/2023, Germany,107.0
01/04/2023, Greece,214.0
01/04/2023, Hungary,139.0
01/04/2023, Italy,183.0
01/04/2023, Latvia,112.0
01/04/2023, Lithuania,120.0
01/04/2023, Netherlands,119.0
01/04/2023, Norway,104.0
01/04/2023, Poland,111.0
01/04/2023, Portugal,109.0
01/04/2023, Romania,139.0
01/04/2023, Serbia,136.0
01/04/2023, Slovakia,142.0
01/04/2023, Slovenia,137.0
01/04/2023, Spain,109.0
01/04/2023, Sweden,110.0
01/04/2023, Switzerland,141.0
01/05/2023, Austria,121.0
01/05/2023, Belgium,124.0
01/05/2023, Bulgaria,127.0
01/05/2023, Croatia,127.0
01/05/2023, Czech Rep.,121.0
01/05/2023, Denmark,112.0
01/05/2023, Estonia,112.0
01/05/2023, Finland,112.0
01/05/2023, France,121.0
01/05/2023, Germany,117.0
01/05/2023, Greece,207.0
01/05/2023, Hungary,128.0
01/05/2023, Latvia,112.0
01/05/2023, Lithuania,112.0
01/05/2023, Netherlands,130.0
01/05/2023, Norway,96.0
01/05/2023, Poland,101.0
01/05/2023, Portugal,104.0
01/05/2023, Romania,127.0
01/05/2023, Serbia,134.0
01/05/2023, Slovakia,126.0
01/05/2023, Slovenia,126.0
01/05/2023, Spain,104.0
01/05/2023, Sweden,96.0
01/06/2023, Austria,121.0
01/06/2023, Belgium,124.0
01/06/2023, Bulgaria,127.0
01/06/2023, Croatia,127.0
01/06/2023, Czech Rep.,121.0
01/06/2023, Denmark,112.0
01/06/2023, Estonia,112.0
01/06/2023, Finland,112.0
01/06/2023, France,121.0
01/06/2023, Germany,117.0
01/06/2023, Greece,207.0
01/06/2023, Hungary,128.0
01/06/2023, Latvia,112.0
01/06/2023, Lithuania,112.0
01/06/2023, Netherlands,130.0
01/06/2023, Norway,96.0
01/06/2023, Poland,101.0
01/06/2023, Portugal,104.0
01/06/2023, Romania,127.0
01/06/2023, Serbia,134.0
01/06/2023, Slovakia,126.0
01/06/2023, Slovenia,126.0
01/06/2023, Spain,104.0
01/06/2023, Sweden,96.0
01/07/2023, Austria,121.0
01/07/2023, Belgium,124.0
01/07/2023, Bulgaria,127.0
01/07/2023, Croatia,127.0
